Center,Location
"Humanities Media Audio-Visual Resource and Computing Centre","McMaster University Togo Salmon Hall Room 205A 1280 Main Street West Hamilton, Ontario, Canada L8S 4M2"
"Humanities Research Institute - HRI","Sheffield, United Kingdom"
"Humanities Technology and Research Support Center","1141 JFSB, Brigham Young University, Provo, UT, United States 84602"
"HUMlab","Umeå, Sweden"
"HyperStudio","Massachusetts Institute of Technology Bldg 16-635 77 Massachusetts Ave. Cambridge, MA 02139"
"I-CHASS","Urbana-Champaign, IL, United States"
"IASSIS",""
"IATH","Alderman Library University of Virginia Charlottesville, VA 22904-4115"
"Information Technology Programme","York University 3068 TEL Building 4700 Keele Street Toronto, Ontario, M3J 1P3 Canada"
"Institut des Sciences Sociales - LaDHUL","University of Lausanne, Lausanne, Switzerland"
"Institut Francais de Recherche en Iran - IFRI","Teheran, Iran"
"Institute for Corpus Linguistics and Text Technology - ICLTT","Sonnenfelsgasse 19/8, 1010 Vienna, Austria"
"Institute for Digital Arts and Humanities","Bloomington, IN, United States"
"Institute for Digital Research in the Humanities","Lawrence, KS, United States"
"Institute of Humanities","Krasnoyarsk, Russian Federation"
"Instituto de Historia Contemporanea","Lisboa, Portugal"
"Instituto de História Contemporânea (IHC)","Lisbon, Portugal"
"Interdisciplinary Research & Informatics Scholarship Center","Edwardsville, IL, United States"
"International Council of Museums - ICOM","1 rue Miollis 75732 Paris Cedex 15 France"
"International Institute for Digital Humanities","11F, 5-26-4, Hongo, Bunkyo-ku, Tokyo, Japan"
"Irish Virtual Research Library and Archive - IVRLA","Newman Building, University College Dublin, Ireland"
"Istituto di Linguistica Computazionale","Via Giuseppe Moruzzi N° 1 56124 Pisa, Italy"
"King's Digital Lab","22 Kingsway London WC2B 6LE England"
"Koninklijke Academie voor Nederlandse Taal-en Letterkunde","Belgium"
"Kule Institute for Advanced Study","3-37 Arts Building University of Alberta Edmonton, Alberta Canada T6G 2R3"
"Laboratoire d'Analyse Cognitive de l'information - LANCI","Université du Québec à Montréal Local W-5353 Case postale 8888, Succ. Centre-Ville Montréal, Québec, Canada H3C 3P8"
"Laboratoire de recherche historique","Lyon Cedex 07, France"
"Laboratorio de Innovación en Humanidades Digitales-LINHD",""
"Le Laboratoire d’Analyse Statistique des Langues Anciennes","Liege, Belgium"
"Library and Information Center","Taiwan"
"Linguistic Data Consortium - LDC","Philadelphia, PA, United States"
"Loyola Center for Textual Studies and Digital Humanities","Chicago, IL, United States"
"MARGOT","Waterloo, ON, Canada"
"Maryland Institute for Technology in the Humanities (MITH)","College Park, MD, United States"
"Master of Arts in Humanities Computing","400 Arts and Convocation Hall University of Alberta Edmonton, Alberta Canada T6G 2E6"
"MATRIX Center for Digital Humanities and Social Sciences","288 Farm Lane 409 Natural Science Building East Lansing, MI 48824-1120, United States"
"McGill Digital Humanities","Suite 455, 688 Sherbrooke St West Montreal, QC H3A 2T6"
"Media Arts + Practice - MAP","Los Angeles, CA , United States"
"MIT Center for Future Civic Media C4FCM","The Media Laboratory Wiesner Building, E15, Room 344 20 Ames Street Cambridge, MA 02139"
"MIT GameLab","MIT, Cambridge, MA, United States"
"Mobile Media and Cultural Computing Beijing","Xitucheng Road,Haidian District,Beijing,China"
"Model Editions Partnership - MEP","DLIS-Thomas Cooper Library Rm 207–208 Columbia SC 29208 USA"
"National Centre of Biography, Australian National University","Canberra, ACT, Australia"
"National Science Digital Library - NSDL","CO, United States"
"New Media Literacies","3502 Watt Way Los Angeles, CA 90089-0281"
"New Zealand Electronic Text Centre","Wellington, New Zealand"
"NINES","Charlottesville, VA, United States"
"Norwegian Social Science Data Services - NSD","Harald Hårfagres gate 29 N-5007 Bergen, Norway"
"Nouvelles technologies - Nouvelles textualités - NT2","UQAM - Maisonneuve Pavilion 405, boul. de Maisonneuve Est, room B-2300 Montreal, Quebec H2X 4J5"
"Office for Humanities Communication - OHC","London, United Kingdom"
"Office of Digital Humanities","Brigham Young University, Provo, UT, United States"
"OpenEdition","Marseille, France"
"Oxford e-Research Centre","7 Keble Road Oxford, United Kingdom OX1 3QG"
"Oxford Text Archive","IT Services University of Oxford 7-19 Banbury Road Oxford United Kingdom, OX2 6NN"
"Pallas","Exeter, United Kingdom"
"Pegasus Data Project","Lausanne, Switzerland"
"Perseus Digital Library","Medford, MA, United States"
"Research Center for Digital Humanities","Taipei, Taiwan"
"Research in Computing for Humanities","Lexington, KY, United States"
"Research Libraries Group",""
"Rhizome","New Museum 235 Bowery New York, NY, United States 10002"
"Rogue Scholar","Seattle, WA, United States"
"Scholar's Lab","Alderman Library, University of Virginia, Charlottesville, VA, United States"
"School of Information","1616 Guadalupe Suite #5.202 Austin, Texas 78701-1213"
"School of Media, Film and Music","Falmer, Brighton, United Kingdom"
"SECRIT (Seminario de Edición y Crítica Textual)","Buenos Aires, Argentina"
"Social Sciences and Humanities Research Council of Canada","Ottawa, ON, Canada"
"Society of Biblical Literature","The Luce Center 825 Houston Mill Road Atlanta, GA 30329"
"sotonDH","Southampton, Hampshire, United Kingdom"
"Stanford Literary Lab","Stanford, CA, United States"
"STOA",""
"Text Encoding Initiative Consortium - TEI","Arlington, MA, United States"
"Textgrid",""
"The Australian Academy of the Humanities","Canberra, Australia"
"The CulturePlex Laboratory","London, ON, Canada"
"The DigIn: Digital Humanities Israel","Jerusalem, Israel"
"The Digital Humanities Initiative (DHi) at Hamilton College","Clinton, New York, United States"
"The Digital Studio for Public Arts & Humanities","Iowa City, IA, United States"
"The Lewis and Ruth Sherman Centre for Digital Scholarship","Mills Memorial Library, Main Street West, Hamilton, ON, Canada"
"The Medici Archive Project","Viale della Giovine Italia, 6 50122 Firenze, Italy"
"The TAPoR Lexical Analysis Laboratory","University of Alberta 116 St. and 85 Ave., Edmonton, AB, Canada T6G 2R3"
"trAce Online Writing Centre","Bedfordshire, United Kingdom"
"Tri-Co Digital Humanities initiative","Pennsylvania, United States"
"UC Digital Humanities","Christchurch, New Zealand"
"UCL Centre for Digital Humanities","London, United Kingdom"
"Uni Digital","Allegaten, Norway"
"University of Arizona Center for Digital Humanities",""
"University of California Humanities Research Institute","Irvine, CA, United States"
"University of Oregon Digital Scholarship Center","142 Knight Library 1501 Kincaid Street Eugene, OR 97403-1299"
"Vanderbilt University Center for Digital Humanities","344 Buttrick Hall, Vanderbilt University, Nashville Tennessee, 37235-0135"
"Victorian eResearch Strategic Initiative - VeRSI","Melbourne, Victoria, Australia"
"Virtual World Heritage Laboratory","B017 Cocke Hall University of Virginia Charlottesville, VA, USA 22904"
"Ward M. Canaday Center for Special Collections","Toledo, OH, United States"
"Wired Humanities Project","2085 University Street Eugene, OR 97403"
"Würzburg Centre for Digital Editing","Würzburg, Germany"
"Yale University Digital Humanities Lab","120 High St, New Haven, CT 06511"
